time,epoch,batch,loss,cost
0min1sec,0,0,50596.297,2636.441
0min8sec,0,10,-122378.277,2883.402
0min9sec,0,20,-30415.927,2842.642
0min8sec,0,30,-17189.901,2809.285
0min8sec,0,40,-5012.785,2779.940
0min8sec,0,50,-1190.400,2715.482
0min8sec,0,60,1099.347,2689.776
0min8sec,0,70,8930.549,2631.123
0min8sec,0,80,15372.726,2567.789
0min8sec,0,90,12967.266,2532.764
0min9sec,0,100,2398.987,2512.968
0min9sec,0,110,7641.281,2491.879
0min9sec,0,120,14828.306,2450.644
0min9sec,0,130,15667.794,2400.058
0min9sec,0,140,17786.942,2346.112
0min9sec,0,150,11166.276,2316.184
0min9sec,0,160,7176.147,2295.034
0min9sec,0,170,8974.535,2273.029
0min9sec,0,180,14141.791,2244.400
0min9sec,0,190,15902.796,2212.011
0min9sec,0,200,17815.431,2179.522
0min9sec,0,210,15524.579,2153.904
0min9sec,0,220,8675.330,2140.791
0min9sec,0,230,15798.939,2114.689
0min9sec,0,240,10361.923,2105.769
0min9sec,0,250,11826.628,2088.576
0min9sec,0,260,10553.524,2071.833
0min9sec,0,270,16508.106,2042.581
0min9sec,0,280,14814.927,2016.335
0min8sec,0,290,14636.913,1991.746
0min9sec,0,300,14727.593,1963.291
0min9sec,0,310,14041.269,1940.644
0min9sec,0,320,13264.396,1916.368
0min9sec,0,330,12511.333,1892.012
0min9sec,0,340,11282.731,1871.521
0min9sec,0,350,12008.955,1846.074
0min8sec,0,360,9290.764,1828.586
0min8sec,0,370,10848.221,1804.203
0min8sec,0,380,8667.315,1786.340
0min8sec,0,390,10499.673,1760.806
0min8sec,0,400,10793.126,1735.527
0min8sec,0,410,8926.790,1712.344
0min7sec,0,420,9570.641,1684.969
0min8sec,0,430,7752.795,1662.415
0min8sec,0,440,6025.635,1643.651
0min8sec,0,450,6856.867,1621.852
0min8sec,0,460,5235.323,1604.827
0min8sec,0,470,5899.947,1584.487
0min8sec,0,480,5300.302,1565.988
0min9sec,0,490,5093.113,1546.798
0min9sec,0,500,4001.407,1532.515
0min9sec,0,510,4828.285,1515.632
0min7sec,0,520,4473.745,1497.346
0min8sec,0,530,3859.810,1480.089
0min8sec,0,540,3284.869,1464.682
0min9sec,0,550,1644.862,1453.516
0min9sec,0,560,1768.931,1441.967
0min9sec,0,570,1211.728,1431.969
0min9sec,0,580,1421.627,1419.893
0min8sec,0,590,1196.797,1409.687
0min9sec,0,600,1023.368,1398.503
0min7sec,0,610,1322.802,1385.308
0min6sec,0,620,870.728,1371.189
0min8sec,0,630,1257.440,1357.301
0min7sec,0,640,517.634,1344.057
0min8sec,0,650,112.546,1333.134
0min8sec,0,660,-232.678,1321.795
0min7sec,0,670,-203.335,1310.353
0min7sec,0,680,-533.162,1298.541
0min8sec,0,690,-1524.906,1288.409
