epochs,loss,cost,val_cost
0,4.894427402019501,521.8406884765625,345.0
1,-196.78135780334472,447.5088543701172,300.0
2,-127.46210577964783,372.3538412475586,275.0
3,-92.68914730072021,317.36454711914064,276.0
4,-56.02049498558044,302.3702703857422,242.0
5,-87.91122247695922,289.39995803833006,264.0
6,-111.11460426330567,301.3729600524902,231.0
7,-70.40493103981018,273.49883560180666,224.0
8,-48.083747129440304,256.7756520080566,222.0
9,-30.078138513565065,244.80241271972656,218.0
10,-27.735342936515806,240.94053482055665,218.0
11,-21.161243628263474,242.7611932373047,228.0
12,-30.29387973308563,247.55796142578126,220.0
13,-32.27632652759552,240.7848614501953,246.0
14,-43.37457688808441,252.28684326171876,220.0
15,-25.361197609901428,237.27250061035156,216.0
16,-19.0610600566864,240.40181396484374,221.0
17,-3.201763849258423,229.92458724975586,219.0
18,-9.058594503402709,237.0118002319336,211.0
19,-27.634483795166016,234.68206085205077,222.0
20,-36.0570708990097,237.3806474304199,215.0
21,-75.46103903770447,268.50953369140626,244.0
22,-27.1564275598526,236.44143981933593,217.0
23,-26.427166526317595,239.82518981933595,233.0
24,-38.914085121154784,246.8257843017578,212.0
25,-16.93392942428589,229.56172637939454,211.0
26,-13.823213939666749,228.4465232849121,205.0
27,-28.10815976858139,229.53138076782227,212.0
28,-25.444958934783937,227.7311396789551,211.0
29,-23.962109923362732,225.87062301635743,210.0
