epochs,loss,cost,val_cost
0,13.615059309005737,252.90489028930665,180.0
1,-12.338244996070863,191.2202018737793,156.0
2,-21.58052996635437,171.98485580444336,153.0
3,3.3534709501266478,160.23195587158204,159.0
4,-2.639984574317932,161.93968872070312,144.0
5,-11.626709342002869,151.9570863342285,144.0
6,-4.176479253768921,144.46314208984376,134.0
7,-26.155489342212675,145.01840438842774,135.0
8,-40.25131339073181,151.53244171142578,139.0
9,-35.90763499259949,151.14277603149415,136.0
10,-22.44603917121887,145.61626068115234,132.0
11,-13.11354379415512,138.94626846313477,121.0
12,-21.12641539812088,133.76364753723144,122.0
13,-6.576621628403664,126.13804718017577,115.0
14,-24.106572649478913,127.82495658874512,117.0
15,-19.20148562192917,125.44199867248535,113.0
16,-12.778130227923393,122.24018089294434,120.0
17,-16.886851571798324,125.14051170349121,117.0
18,-12.184871819019317,121.97334915161133,115.0
19,-5.093952781558037,118.21403594970702,110.0
20,-11.229015604257583,116.82768836975097,107.0
21,-14.087876424789428,116.42047630310059,106.0
22,-10.147205243110657,114.82862800598144,107.0
23,-7.187856130003929,112.8496949005127,103.0
24,-11.851450208425522,111.05859855651856,104.0
25,-11.608717053532601,110.96255729675293,105.0
26,-12.407216876149178,111.64215087890625,109.0
27,-13.64806676387787,113.13676460266113,105.0
28,-13.618432891368865,112.11679908752441,107.0
29,-12.093294491767884,111.34477516174316,104.0
