Name,X,Y,,,,
荷塘区,113.162548,27.833036,5.162548,3.833036,73.75068571,54.75765714
芦淞区,113.155169,27.827246,5.155169,3.827246,73.64527143,54.67494286
石峰区,113.11295,27.871945,5.11295,3.871945,73.04214286,55.3135
天元区,113.136252,27.826909,5.136252,3.826909,73.37502857,54.67012857
渌口区,113.146175,27.705844,5.146175,3.705844,73.51678571,52.94062857
攸县,113.345774,27.000071,5.345774,3.000071,76.3682,42.85815714
茶陵县,113.546509,26.789534,5.546509,2.789534,79.23584286,39.85048571
炎陵县,113.776884,26.489459,5.776884,2.489459,82.52691429,35.5637
醴陵市,113.507157,27.657873,5.507157,3.657873,78.67367143,52.25532857
娄星区,112.008486,27.726643,4.008486,3.726643,57.26408571,53.23775714
双峰县,112.198245,27.459126,4.198245,3.459126,59.97492857,49.41608571
新化县,111.306747,27.737456,3.306747,3.737456,47.23924286,53.39222857
冷水江市,111.434674,27.685759,3.434674,3.685759,49.06677143,52.6537
涟源市,111.670847,27.692301,3.670847,3.692301,52.44067143,52.74715714
双清区,111.479756,27.240001,3.479756,3.240001,49.7108,46.28572857
大祥区,111.462968,27.233593,3.462968,3.233593,49.47097143,46.19418571
北塔区,111.452315,27.245688,3.452315,3.245688,49.31878571,46.36697143
新邵县,111.459762,27.311429,3.459762,3.311429,49.42517143,47.30612857
邵阳县,111.2757,26.989713,3.2757,2.989713,46.79571429,42.71018571
隆回县,111.038785,27.116002,3.038785,3.116002,43.41121429,44.51431429
洞口县,110.579212,27.062286,2.579212,3.062286,36.84588571,43.74694286
绥宁县,110.155075,26.580622,2.155075,2.580622,30.78678571,36.86602857
新宁县,110.859115,26.438912,2.859115,2.438912,40.8445,34.8416
城步苗族自治县,110.313226,26.363575,2.313226,2.363575,33.04608571,33.76535714
武冈市,110.636804,26.732086,2.636804,2.732086,37.66862857,39.0298
邵东市,111.743168,27.257273,3.743168,3.257273,53.47382857,46.53247143
资阳区,112.33084,28.592771,4.33084,4.592771,61.86914286,65.61101429
赫山区,112.360946,28.568327,4.360946,4.568327,62.29922857,65.26181429
南县,112.410399,29.372181,4.410399,5.372181,63.0057,76.74544286
桃江县,112.139732,28.520993,4.139732,4.520993,59.13902857,64.58561429
安化县,111.221824,28.377421,3.221824,4.377421,46.02605714,62.53458571
沅江市,112.361088,28.839713,4.361088,4.839713,62.30125714,69.13875714
鹤城区,109.982242,27.548474,1.982242,3.548474,28.31774286,50.69248571
中方县,109.948061,27.43736,1.948061,3.43736,27.82944286,49.10514286
沅陵县,110.399161,28.455554,2.399161,4.455554,34.27372857,63.65077143
辰溪县,110.196953,28.005474,2.196953,4.005474,31.38504286,57.22105714
