Name,X,Y
荷塘区,73.75068571,54.75765714
芦淞区,73.64527143,54.67494286
石峰区,73.04214286,55.3135
天元区,73.37502857,54.67012857
渌口区,73.51678571,52.94062857
攸县,76.3682,42.85815714
茶陵县,79.23584286,39.85048571
炎陵县,82.52691429,35.5637
醴陵市,78.67367143,52.25532857
娄星区,57.26408571,53.23775714
双峰县,59.97492857,49.41608571
新化县,47.23924286,53.39222857
冷水江市,49.06677143,52.6537
涟源市,52.44067143,52.74715714
双清区,49.7108,46.28572857
大祥区,49.47097143,46.19418571
北塔区,49.31878571,46.36697143
新邵县,49.42517143,47.30612857
邵阳县,46.79571429,42.71018571
隆回县,43.41121429,44.51431429
洞口县,36.84588571,43.74694286
绥宁县,30.78678571,36.86602857
新宁县,40.8445,34.8416
城步苗族自治县,33.04608571,33.76535714
武冈市,37.66862857,39.0298
邵东市,53.47382857,46.53247143
资阳区,61.86914286,65.61101429
赫山区,62.29922857,65.26181429
南县,63.0057,76.74544286
桃江县,59.13902857,64.58561429
安化县,46.02605714,62.53458571
沅江市,62.30125714,69.13875714
鹤城区,28.31774286,50.69248571
中方县,27.82944286,49.10514286
沅陵县,34.27372857,63.65077143
辰溪县,31.38504286,57.22105714
溆浦县,37.04818571,55.7686
会同县,24.58264286,41.01127143
麻阳苗族自治县,25.75438571,55.22844286
新晃侗族自治县,16.77775714,47.99852857
芷江侗族自治县,24.1111,49.11422857
靖州苗族侗族自治县,24.15941429,36.76444286
通道侗族自治县,25.47655714,30.83355714
洪江市,26.16807143,45.74108571
雨湖区,70.1061,55.15385714
岳塘区,70.39581429,54.69791429
湘潭县,70.7547,53.98001429
湘乡市,64.64595714,53.35597143
韶山市,64.69257143,56.03831429
岳阳楼区,73.15358571,76.66834286
云溪区,75.341,78.19135714
君山区,71.48688571,77.6866
岳阳县,73.08675714,73.49775714
华容县,65.13384286,78.91581429
湘阴县,69.85354286,66.8214
平江县,79.91072857,67.16461429
汨罗市,72.56312857,68.61641429
临湘市,77.8687,78.16562857
吉首市,24.83247143,61.64038571
泸溪县,31.63468571,60.20737143
凤凰县,22.84558571,56.4044
花垣县,21.12947143,65.44788571
保靖县,23.59207143,67.28007143
古丈县,27.85131429,65.95675714
永顺县,26.4756,71.40097143
龙山县,20.58841429,77.90625714
永定区,35.4937,73.22801429
武陵源区,36.394,76.39752857
慈利县,44.75288571,77.48394286
桑植县,30.91484286,77.14198571
芙蓉区,71.25848571,59.90151429
天心区,71.04385714,59.89107143
岳麓区,70.16558571,60.18634286
开福区,71.22178571,60.01908571
雨花区,71.66195714,58.71338571
望城区,68.8507,62.10654286
长沙县,72.57282857,60.54125714
浏阳市,80.47572857,59.15874286
宁乡市,65.04545714,60.7704
北湖区,71.88868571,25.60897143
苏仙区,71.9814,25.61652857
桂阳县,67.63522857,24.82067143
宜章县,70.68405714,19.91921429
永兴县,73.06884286,30.41988571
嘉禾县,62.4374,22.67584286
临武县,65.20841429,18.27312857
汝城县,81.22408571,22.19655714
桂东县,84.94112857,29.62738571
安仁县,75.31671429,38.69464286
资兴市,74.81171429,28.20217143
珠晖区,66.09034286,41.3009
雁峰区,65.88915714,41.33848571
石鼓区,65.82335714,41.4844
蒸湘区,65.2944,41.29814286
南岳区,67.63067143,46.29337143
衡阳县,62.56632857,42.31982857
衡南县,66.82084286,39.14247143
衡山县,69.56728571,46.21154286
衡东县,70.72017143,44.05044286
祁东县,58.73131429,39.81584286
耒阳市,69.24592857,34.48802857
常宁市,62.81172857,34.38247143
零陵区,51.80497143,31.7621
冷水滩区,51.5308,34.77662857
祁阳市,55.10485714,36.94184286
东安县,47.32907143,34.24682857
双牌县,52.31637143,27.99138571
道县,51.30877143,21.69205714
江永县,47.81147143,18.11648571
宁远县,56.35041429,22.63017143
蓝山县,59.91707143,19.6465
新田县,60.29058571,27.24181429
江华瑶族自治县,51.10394286,16.89422857
武陵区,52.72454286,72.00681429
鼎城区,52.64752857,71.63465714
安乡县,59.60412857,77.34975714
汉寿县,56.69294286,70.10455714
澧县,53.73831429,80.60914286
临澧县,52.08002857,77.76024286
桃源县,49.77861429,70.03905714
石门县,48.27267143,79.78147143
津市市,55.42298571,80.44095714
